ParkID,Park_Name,Address,Zip,Park_State,Borough,Park_Desig,Park_Owner,FIPS,Census,HVI,SVI,FLOOD_COUNT,2020_SW,2020_SS,2050_SW,2050_SS,2080_SW,2100_SS,HPL_PARKS,HPL_LOGO,HPL_LINK,SUM_TOTPOP_10MIN,SUM_KIDS_10MIN,SUM_YOUNGP_10MIN,SUM_SENIOR_10MIN,SUM_HHILOW_10MIN,SUM_HHIMED_10MIN,SUM_HHIHIG_10MIN,SUM_TOTHHS_10MIN,SUM_WHITE_10MIN,SUM_BLACK_10MIN,SUM_AMERIN_10MIN,SUM_ASIAN_10MIN,SUM_PACIFI_10MIN,SUM_OTHRAC_10MIN,SUM_RACE2U_10MIN,SUM_HISP_S_10MIN,Park_Local,Park_Sourc
3651000-1474,Pralls Island, ,10314,New York,Staten Island,LCA,CITY,0,29102,1,0.00,3,,X,,X,,X,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of NYC,City of New York
3651000-1789,Four Sparrow Marsh, ,11234,New York,Brooklyn,LCA,CITY,36047070202,70202,0,0.00,6,X,X,X,X,X,X,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of NYC,City of New York
3651000-2376,P.S. 45, ,10310,New York,Staten Island,LP,CITY,36085012100,12100,1,0.01,1,,,,,X,,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,6502,1471,3788,1239,433,500,1367,2316,4457,266,6,343,0,38,183,1170,City of NYC,City of New York
3651000-1512,Neponsit Mall, ,11694,New York,Queens,LP,CITY,36081091800,91800,2,0.03,6,X,X,X,X,X,X,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,3736,885,1885,961,142,129,1045,1319,3388,11,0,56,2,24,73,181,City of New York,City of New York
3651000-2290,Rockaway Beach, , , ,Queens,LP,CITY,36081091800,91800,2,0.03,6,X,X,X,X,X,X,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,0,3584,9959,4105,1986,1997,3202,7194,15105,1015,34,546,13,622,317,2023,City of NYC,City of New York
3651000-1810,Gwirtzman Triangle, ,11694,New York,Queens,LP,CITY,36081091800,91800,2,0.03,4,,X,,X,X,X,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,2783,687,1393,701,125,106,770,1002,2530,9,0,38,2,16,48,140,City of NYC,City of New York
3651000-1461,Drumgoole Tot Lot, ,10312,New York,Staten Island,LP,CITY,36085017015,17015,2,0.03,3,X,,X,,X,,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,5609,1195,3242,1166,353,508,1175,2049,4482,29,9,345,0,25,112,579,State Land Board,USGS PAD-US
3651000-1490,Carlton Park (Crown), ,10312,New York,Staten Island,LCA,CITY,36085017015,17015,2,0.03,3,X,,X,,X,,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,5429,1185,3154,1083,355,503,1121,1979,4258,45,8,358,0,26,106,611,City of New York,City of New York
3651000-1489,Isle Of Meadows, ,10309,New York,Staten Island,LCA,CITY,36085022801,22801,0,0.04,6,X,X,X,X,X,X,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYS Dept. of Environmental Conservation,USGS PAD-US
3651000-2471,Great Kills Park (Hylan), ,10306,New York,Staten Island,LP,CITY,36085011204,11204,1,0.05,6,X,X,X,X,X,X,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,15236,3162,8893,3184,1430,1853,2188,5462,10255,484,13,2029,2,89,314,2033,NYS Dept. of Environmental Conservation,USGS PAD-US
3651000-0162,Washington Market Park,304 GREENWICH STREET,10013,New York,Manhattan,LP,CITY,36061002100,2100,1,0.06,6,X,X,X,X,X,X,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,28064,7192,17714,3115,1060,999,9729,11817,19251,670,8,4003,8,211,1748,2047,GOVERNORS ISLAND CORP,USGS PAD-US
3651000-0163,Tribeca Dog Run,114 WARREN STREET,10007,New York,Manhattan,LP,CITY,36061002100,2100,1,0.06,4,,X,,X,X,X,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,22456,5745,14141,2536,897,774,7943,9631,15424,478,5,3313,7,166,1373,1591,State Department of Conservation,USGS PAD-US
3651000-1983,P.S. 321,180 7 Ave.,11215,New York,Brooklyn,LP,CITY,36047015500,15500,1,0.07,1,,,,,X,,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,32401,6206,22075,4097,1327,2054,10760,14158,22846,1345,13,2592,4,230,2087,3189,FEDFEE,USGS PAD-US
3651000-1673,Bayview Terrace Park, , , ,Bronx,LCA,CITY,36085017600,17600,1,0.07,6,X,X,X,X,X,X,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,0,479,1303,457,176,140,459,776,2029,4,2,162,0,8,32,140,New York City,City of New York
3651000-1672,Garden, ,10312,New York,Staten Island,LP,CITY,36085017600,17600,1,0.07,6,X,X,X,X,X,X,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,1935,405,1107,419,124,100,462,691,1576,8,0,142,0,10,56,132,49-51 CHAMBERS LLC,City of New York
3651000-1903,Bunker Ponds Park, ,10312,New York,Staten Island,LCA,CITY,36085017600,17600,1,0.07,3,X,,X,,X,,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,2332,475,1421,433,161,141,503,818,1923,10,0,157,0,1,45,175,FEDFEE,USGS PAD-US
3651000-1487,Kingdom Pond Park, ,10312,New York,Staten Island,LCA,CITY,36085017600,17600,1,0.07,3,X,,X,,X,,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,1818,376,1114,327,122,116,388,633,1494,8,0,121,0,1,36,142,New York City,City of New York
3651000-1904,Arbutus Woods Park, ,10312,New York,Staten Island,LCA,CITY,36085017600,17600,1,0.07,4,X,,X,X,X,,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,959,200,586,171,58,69,201,333,798,2,0,56,0,0,17,68,FEDFEE,USGS PAD-US
3651000-1424,Wolfe'S Pond Park, ,10312,New York,Staten Island,LP,CITY,36085017600,17600,1,0.07,6,X,X,X,X,X,X,No,https://rebuildbydesign.github.io/parks-as-infrastructure/img/hpl-park.png,https://rebuildbydesign.org/parks-as-infrastructure#hpl,6357,1348,3824,1175,342,410,1445,2221,5188,29,0,414,0,16,140,526,New York State,City of New York
